sample_id,orig_path,edited_path,reversed_path,source_side,target_side,edit_magnitude,reverse_error
sample_2841,experiment/laterality/edits/sample_2841_original.png,experiment/laterality/edits/sample_2841_edited.png,experiment/laterality/edits/sample_2841_reversed.png,right,left,5.298165,0.002839
sample_2842,experiment/laterality/edits/sample_2842_original.png,experiment/laterality/edits/sample_2842_edited.png,experiment/laterality/edits/sample_2842_reversed.png,left,right,4.288536,0.005376
sample_2843,experiment/laterality/edits/sample_2843_original.png,experiment/laterality/edits/sample_2843_edited.png,experiment/laterality/edits/sample_2843_reversed.png,left,right,4.957925,0.003991
sample_2844,experiment/laterality/edits/sample_2844_original.png,experiment/laterality/edits/sample_2844_edited.png,experiment/laterality/edits/sample_2844_reversed.png,right,left,4.469030,0.004279
sample_2845,experiment/laterality/edits/sample_2845_original.png,experiment/laterality/edits/sample_2845_edited.png,experiment/laterality/edits/sample_2845_reversed.png,right,left,5.194109,0.002221
sample_2846,experiment/laterality/edits/sample_2846_original.png,experiment/laterality/edits/sample_2846_edited.png,experiment/laterality/edits/sample_2846_reversed.png,right,left,3.294112,0.002978
sample_2847,experiment/laterality/edits/sample_2847_original.png,experiment/laterality/edits/sample_2847_edited.png,experiment/laterality/edits/sample_2847_reversed.png,right,left,4.874650,0.002277
sample_2848,experiment/laterality/edits/sample_2848_original.png,experiment/laterality/edits/sample_2848_edited.png,experiment/laterality/edits/sample_2848_reversed.png,right,left,4.190751,0.003163
sample_2849,experiment/laterality/edits/sample_2849_original.png,experiment/laterality/edits/sample_2849_edited.png,experiment/laterality/edits/sample_2849_reversed.png,right,left,4.595726,0.003648
sample_2850,experiment/laterality/edits/sample_2850_original.png,experiment/laterality/edits/sample_2850_edited.png,experiment/laterality/edits/sample_2850_reversed.png,left,right,4.255191,0.002468
sample_2851,experiment/laterality/edits/sample_2851_original.png,experiment/laterality/edits/sample_2851_edited.png,experiment/laterality/edits/sample_2851_reversed.png,left,right,5.537755,0.002162
sample_2852,experiment/laterality/edits/sample_2852_original.png,experiment/laterality/edits/sample_2852_edited.png,experiment/laterality/edits/sample_2852_reversed.png,right,left,4.494382,0.004969
sample_2853,experiment/laterality/edits/sample_2853_original.png,experiment/laterality/edits/sample_2853_edited.png,experiment/laterality/edits/sample_2853_reversed.png,right,left,4.209751,0.001801
sample_2854,experiment/laterality/edits/sample_2854_original.png,experiment/laterality/edits/sample_2854_edited.png,experiment/laterality/edits/sample_2854_reversed.png,right,left,5.442056,0.002453
sample_2855,experiment/laterality/edits/sample_2855_original.png,experiment/laterality/edits/sample_2855_edited.png,experiment/laterality/edits/sample_2855_reversed.png,right,left,3.918093,0.002688
sample_2856,experiment/laterality/edits/sample_2856_original.png,experiment/laterality/edits/sample_2856_edited.png,experiment/laterality/edits/sample_2856_reversed.png,left,right,4.237238,0.003908
